"Startup_Name,Industry_AI_Application,Country,Funding_Stage,Valuation ($M),Funding_Amount ($M),Investors,Year,Profitability,Employee_Count,AI_Model_Type"
"ThoughtSpot,Analytics AI,USA,Series F,4200,250,""Lightspeed, Khosla"",2021,TRUE,1200,NLP Search"
"Recursion Pharma,Biotech AI,USA,IPO,3500,200,""Merck, Baillie Gifford"",2022,FALSE,700,Generative Chemistry"
"Element AI,AI Consulting,Canada,Acquired,600,150,""Microsoft, NVIDIA"",2020,FALSE,400,ML Ops"
"Anthropic,AI Safety,USA,Series B,4500,300,""FTX, Jaan Tallinn"",2023,FALSE,200,Constitutional AI"
"Insilico Medicine,Drug Discovery,Hong Kong,Series C,2500,150,""Wuxi, B Capital"",2022,FALSE,350,Generative Chemistry"
"Deepgram,Speech AI,USA,Series B,800,60,""Y Combinator, NVIDIA"",2021,FALSE,120,Speech-to-Text"
"Viz.ai,Healthcare Imaging,USA,Series D,1200,100,""Google, Kleiner"",2023,TRUE,250,Computer Vision"
"Cresta,Contact Center AI,USA,Series C,1600,90,""a16z, Greylock"",2022,FALSE,180,Conversational AI"
"Moveworks,Enterprise NLP,USA,Series C,2100,120,""Bain, IVP"",2021,TRUE,300,LLM Applications"
"Abacus.AI,ML Platform,USA,Series B,900,50,""Coatue, Index"",2020,FALSE,80,AutoML"
"Tractable,Insurance AI,UK,Series D,1000,70,""Georgian, Insight"",2023,TRUE,200,Computer Vision"
"Hyperscience,Document AI,USA,Series E,3500,200,""Stripes, Bessemer"",2022,FALSE,400,OCR Automation"
"Lilt,Translation AI,USA,Series C,700,50,""Sequoia, Intel"",2021,FALSE,120,NLP"
"Eightfold,HR Tech,USA,Series E,2000,180,""Foundation, IVP"",2023,TRUE,500,Recommendation Systems"
"Sift,Fraud Detection,USA,Series E,1500,100,""Y Combinator, Stripes"",2022,TRUE,350,Anomaly Detection"
"Ada Support,Customer Service AI,Canada,Series C,1200,80,""Accel, Bessemer"",2021,FALSE,250,Chatbots"
"Aurora,Autonomous Trucks,USA,IPO,11000,600,""Amazon, Sequoia"",2023,FALSE,1600,Self-Driving AI"
"OrCam,Assistive Tech,Israel,Series D,2000,150,""Intel, Clal"",2022,TRUE,300,Computer Vision"
"Socure,Identity Verification,USA,Series E,4500,250,""Sorenson, T. Rowe"",2023,TRUE,600,Biometric AI"
"Owkin,Federated Learning,France,Series B,800,70,""GV, Bpifrance"",2021,FALSE,150,Privacy-Preserving AI"
"PathAI,Pathology AI,USA,Series C,1200,90,""General Atlantic, D1"",2022,FALSE,200,Medical Imaging"
"Uniphore,Conversational AI,USA,Series E,2500,150,""March Capital, NEA"",2023,FALSE,350,Speech Analytics"
"Exscientia,Drug Discovery,UK,IPO,3000,200,""Evotec, GT Healthcare"",2021,FALSE,500,Generative AI"
"Icertis,Contract AI,USA,Series F,5000,300,""Greylock, B Capital"",2022,TRUE,800,NLP"
"Appen,AI Training Data,Australia,IPO,1200,80,""Telstra, BlackRock"",2020,TRUE,400,Data Labeling"
"Cognitivescale,Finance AI,USA,Series C,800,50,""Intel, IBM"",2021,FALSE,150,Trustworthy AI"
"OneTrust,Privacy Tech,USA,Series C,5300,300,""Insight, T. Rowe"",2023,TRUE,1200,Compliance AI"
"Lightricks,Creative Tools AI,Israel,Series E,1800,130,""Insight, Clal"",2022,TRUE,400,Generative AI"
"Behavox,Financial Compliance,UK,Series C,700,60,""Georgian, Horizon"",2021,TRUE,180,NLP Surveillance"
"Deep 6 AI,Clinical Trial Matching,USA,Series B,500,40,""Bayer, Lux"",2020,FALSE,90,Healthcare NLP"
"Zymergen,Industrial Biotech,USA,IPO,3000,400,""SoftBank, DCVC"",2021,FALSE,600,Bio-AI"
"Curai,Telehealth AI,USA,Series B,300,25,""Khosla, Mango"",2022,FALSE,70,Diagnostic AI"
"People.ai,Sales Automation,USA,Series C,1200,100,""Andreessen, ICONIQ"",2023,TRUE,250,Predictive Analytics"
"Shield AI,Military Drones,USA,Series E,2300,150,""Point72, Andreessen"",2022,FALSE,350,Autonomous Systems"
"Vianai,Explainable AI,USA,Series B,400,30,""HPE, Plexo"",2021,FALSE,80,Interpretable ML"
"Quantexa,Financial Crime AI,UK,Series D,1800,120,""HSBC, Dawn"",2023,TRUE,300,Graph Analytics"
"Second Spectrum,Sports Analytics,USA,Acquired,200,50,""Gen.G, Samsung"",2020,TRUE,100,Computer Vision"
"Tamr,Data Unification,USA,Series C,600,40,""NEA, Google"",2021,FALSE,120,Data Mastering"
"XMOS,Edge AI Chips,UK,Series B,250,20,""Bosch, In-Q-Tel"",2022,FALSE,50,Embedded AI"
