name,batch,location,description,tags,yc_profile_url,website,status,team_size
Algolia,Winter 2014,"San Francisco, CA, USA",A developer-friendly and enterprise-grade search API.,B2B,https://www.ycombinator.com/companies/algolia,,,
Truebill,Winter 2016,"Silver Spring, MD, USA",Live your best financial life,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/truebill,,,
Twitch,Winter 2007,"San Francisco, CA, USA",A global community creating the future of live entertainment.,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/twitch,,,
PlanGrid,Winter 2012,"San Francisco, CA, USA",Mobile applications for the construction industry.,"REAL ESTATE AND CONSTRUCTION, CONSTRUCTION",https://www.ycombinator.com/companies/plangrid,,,
Bellabeat,Winter 2014,"San Francisco, CA, USA",Tech-powered women's wellness.,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/bellabeat,,,
Cruise,Winter 2014,"San Francisco, CA, USA",Self-driving cars.,"INDUSTRIALS, AUTOMOTIVE",https://www.ycombinator.com/companies/cruise,,,
Benchling,Summer 2012,"San Francisco, CA, USA",Unlocking the power of biotech with modern software for modern science,B2B,https://www.ycombinator.com/companies/benchling,,,
Casetext,Summer 2013,"San Francisco, CA, USA",We make the world's laws free and understandable.,"B2B, LEGAL",https://www.ycombinator.com/companies/casetext,,,
Bird,Summer 2016,"Amsterdam, NH, Netherlands",The world’s largest omnichannel communications platform,B2B,https://www.ycombinator.com/companies/bird,,,
Brex,Winter 2017,"San Francisco, CA, USA","Business accounts, corporate cards, and spend management software.","FINTECH, BANKING AND EXCHANGE",https://www.ycombinator.com/companies/brex,,,
The Athletic,Summer 2016,"San Francisco, CA, USA",Subscription sports media.,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/the-athletic,,,
Codecademy,Summer 2011,"New York City, NY, USA",The leading online learning platform for technical skills.,EDUCATION,https://www.ycombinator.com/companies/codecademy,,,
Checkr,Summer 2014,"San Francisco, CA, USA",People infrastructure for the future of work,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/checkr,,,
Lever,Summer 2012,"San Francisco, CA, USA",Talent Acquisition Suite that combines ATS + Talent CRM,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/lever,,,
Clipboard,Winter 2017,"San Francisco, CA, USA","Every shift, Covered.",CONSUMER,https://www.ycombinator.com/companies/clipboard,,,
Heap,Winter 2013,"Seattle, WA, USA",Captures user interactions with no code to generate analytics.,"B2B, ANALYTICS",https://www.ycombinator.com/companies/heap,,,
Sendwave,Winter 2012,"Boston, MA, USA","Instant, no fee international remittances.","FINTECH, PAYMENTS",https://www.ycombinator.com/companies/sendwave,,,
Deel,Winter 2019,"San Francisco, CA, USA",The all-in-one HR and payroll platform for global teams,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/deel,,,
Clever,Summer 2012,"San Francisco, CA, USA",The platform that powers technology in the classroom.,EDUCATION,https://www.ycombinator.com/companies/clever,,,
Caper,Winter 2016,,Plug-and-play cashier-less retail powered by computer vision and AI,"B2B, RETAIL",https://www.ycombinator.com/companies/caper,,,
Reddit,Summer 2005,"San Francisco, CA, USA",The frontpage of the internet.,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/reddit,,,
Fivestars,Winter 2011,"San Francisco, CA, USA",Customer loyalty and payments platform for small businesses.,"B2B, RETAIL",https://www.ycombinator.com/companies/fivestars,,,
Machine Zone,Winter 2008,"San Francisco, CA, USA",Pioneers of mobile social gaming.,"CONSUMER, GAMING",https://www.ycombinator.com/companies/machine-zone,,,
Faire,Winter 2017,"San Francisco, CA, USA",The global online platform empowering independent retail.,"B2B, RETAIL",https://www.ycombinator.com/companies/faire,,,
Fivetran,Winter 2013,"San Francisco, CA, USA",The leader in automated data movement,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/fivetran,,,
Optimizely,Winter 2010,"San Francisco, CA, USA",The first all-in-one operating system for marketing,B2B,https://www.ycombinator.com/companies/optimizely,,,
Flexport,Winter 2014,"San Francisco, CA, USA",Platform for global logistics.,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/flexport,,,
WePay,Summer 2009,"San Francisco, CA, USA",Payments for platform businesses.,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/wepay,,,
Weebly,Winter 2007,"San Francisco, CA, USA",Build a free website that grows with your business.,"B2B, MARKETING",https://www.ycombinator.com/companies/weebly,,,
Flock Safety,Summer 2017,"Atlanta, GA, USA",The first public safety operating system that eliminates crime.,B2B,https://www.ycombinator.com/companies/flock-safety,,,
Sqreen,Winter 2018,"San Francisco, CA, USA",Sqreen is the application security platform for the modern enterprise,"B2B, SECURITY",https://www.ycombinator.com/companies/sqreen,,,
"NURXNew York City, NY, USA",Winter 2016,,"Medicine or testing kit, prescribed online and delivered to your door.","HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/nurx,,,
"Go1Brisbane, QLD, Australia",Summer 2015,,A learning platform that enables you to train your staff or customers.,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/go1,,,
Core,Summer 2013,"OSSan Francisco, CA, USA",Open source tools of modern distributed systems.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/coreos,,,
Bear Flag Robotics,Winter 2018,"New York City, NY, USA",Autonomous driving technology for farm tractors.,"INDUSTRIALS, AGRICULTURE",https://www.ycombinator.com/companies/bear-flag-robotics,,,
GOAT Group,Winter 2011,"Los Angeles, CA, USA","Platform for the greatest products from the past, present and future.","CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/goat-group,,,
Heroku,Winter 2008,"San Francisco, CA, USA",Enabling developers to build and run applications in the cloud.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/heroku,,,
GrubMarket,Winter 2015,"San Francisco, CA, USA",AI-powered technology enabler and digital transformer of American…,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/grubmarket,,,
HelloSign,Winter 2011,"San Francisco, CA, USA",eSignature software for small and mid-market businesses.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/hellosign,,,
Zenefits,Winter 2013,"San Francisco, CA, USA","HR for small businesses: onboarding, payroll and benefits.","B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/zenefits,,,
Gusto,Winter 2012,"San Francisco, CA, USA",Provides growing businesses with everything to take care of their team,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/gusto,,,
Honeylove,Summer 2018,"Los Angeles, CA, USA",Honeylove makes functional undergarments for women,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/honeylove,,,
Modern Fertility,Summer 2017,"San Francisco, CA, USA",At-home fertility test for women who aren't ready for kids right now…,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/modern-fertility,,,
Cognito,Summer 2014,"San Francisco, CA, USA","Frictionless, modern identity verification that starts with just a…",B2B,https://www.ycombinator.com/companies/cognito,,,
OpenInvest,Summer 2015,"San Francisco, CA, USA",Values based personalization at scale for asset and wealth management,FINTECH,https://www.ycombinator.com/companies/openinvest,,,
Mixpanel,Summer 2009,"San Francisco, CA, USA",Mixpanel is event analytics for builders that need answers.,"B2B, ANALYTICS",https://www.ycombinator.com/companies/mixpanel,,,
Paystack,Winter 2016,"Lagos, LA, Nigeria",Modern payments infrastructure for Africa,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/paystack,,,
"Moxion Power Co.San Francisco, CA, USA",Winter 2021,,Mobile Energy Storage Technology,"INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/moxion-power-co,,,
DrChrono,Winter 2011,"San Francisco, CA, USA",The essential platform for modern medical practices and patients.,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/drchrono,,,
OMGPop,Summer 2006,"New York City, NY, USA",An independent flash game studio.,"CONSUMER, GAMING",https://www.ycombinator.com/companies/omgpop,,,
Newfront,Winter 2018,"San Francisco, CA, USA",Modern insurance brokerage.,"FINTECH, INSURANCE",https://www.ycombinator.com/companies/newfront-insurance,,,
North,Winter 2013,"Kitchener, ON, Canada",Wearable computing hardware: biosignal gesture recognition,"CONSUMER, VIRTUAL AND AUGMENTED REALITY",https://www.ycombinator.com/companies/north,,,
Nowports,Winter 2019,,The core engine of supply chain in LATAM,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/nowports,,,
Odeko,Summer 2019,"New York City, NY, USA",Our operations software makes it easier to run--and grow--your cafe,B2B,https://www.ycombinator.com/companies/odeko,,,
GitPrime,Winter 2016,"Durango, CO, USA",Visibility and analytics for software development leaders.,B2B,https://www.ycombinator.com/companies/gitprime,,,
Proxy,Summer 2016,"San Francisco, CA, USA",Smart ring digital wallet,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/proxy,,,
FutureAdvisor,Summer 2010,"San Francisco, CA, USA",The online financial management service for everyone.,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/futureadvisor,,,
Podium,Winter 2016,"Lehi, UT, USA",Get more leads. Make more money.,"B2B, RETAIL",https://www.ycombinator.com/companies/podium,,,
"RappiBogotá, Bogota, Colombia",Winter 2016,,On-demand delivery and financial services for Latin America.,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/rappi,,,
Razorpay,Winter 2015,"Bengaluru, KA, India",India's only full-stack financial solutions company for businesses.,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/razorpay,,,
Rippling,Winter 2017,"San Francisco, CA, USA","One place to run all your HR, IT, and Finance. Globally.","B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/rippling,,,
"Scale AISan Francisco, CA, USA",Summer 2016,,Data-centric infrastructure to accelerate the development of AI,B2B,https://www.ycombinator.com/companies/scale-ai,,,
Scentbird,Summer 2015,"New York City, NY, USA",Scentbird is a luxury fragrance subscription service.,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/scentbird,,,
Scribd,Summer 2006,"San Francisco, CA, USA",World's largest online library.,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/scribd,,,
ShipBob,Summer 2014,"Chicago, IL, USA",Providing Amazon level logistics to e-commerce businesses.,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/shipbob,,,
SmartAsset,Summer 2012,"New York City, NY, USA",Marketplace connecting consumers to financial advisors,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/smartasset,,,
Stripe,Summer 2009,"San Francisco, CA, USA",Economic infrastructure for the internet.,FINTECH,https://www.ycombinator.com/companies/stripe,,,
"WaveDakar, Dakar Region, Senegal",Winter 2012,,Mobile money app for Africa,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/wave,,,
Webflow,Summer 2013,"San Francisco, CA, USA",Professional website design and publishing platform.,"B2B, MARKETING",https://www.ycombinator.com/companies/webflow,,,
Whatnot,Winter 2020,"Los Angeles, CA, USA",Whatnot is the largest livestream shopping platform in the U.S.,CONSUMER,https://www.ycombinator.com/companies/whatnot,,,
Zapier,Summer 2012,"San Francisco, CA, USA",The easiest way to automate your work.,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/zapier,,,
"ZeptoMH, India",Winter 2021,,10-Minute Grocery Delivery in India,"CONSUMER, FOOD AND BEVERAGE",https://www.ycombinator.com/companies/zepto,,,
Focal Systems,Winter 2016,"San Francisco, CA, USA",Building the Operating System for B&M Retail using Deep Learning,"B2B, RETAIL",https://www.ycombinator.com/companies/focal-systems,,,
Mio,Winter 2016,"Austin, TX, USA",Mio powers seamless communication between workplace chat apps.,B2B,https://www.ycombinator.com/companies/mio,,,
Daily,Winter 2016,"San Francisco, CA, USA",Conversational Voice and Multimodal AI built with Open Source,"B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/daily,,,
Petcube,Winter 2016,"San Francisco, CA, USA",Petcube is on the mission to improve lives of pets and pet owners…,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/petcube,,,
Outschool,Winter 2016,"San Francisco, CA, USA",A live online learning platform that empowers kids ages 3–18.,EDUCATION,https://www.ycombinator.com/companies/outschool,,,
Mason,Winter 2016,"Seattle, WA, USA",Mason is the fastest way to take smart devices from idea to end user,B2B,https://www.ycombinator.com/companies/mason,,,
MagicBus,Winter 2016,"Los Angeles, CA, USA",We make vanpool simple.,"CONSUMER, TRANSPORTATION SERVICES",https://www.ycombinator.com/companies/magicbus,,,
Tovala,Winter 2016,"Chicago, IL, USA",A smart-oven-paired subscription meal service.,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/tovala,,,
iSono Health,Winter 2016,"San Francisco, CA, USA",AI-powered platform for Accessible and Personalized Breast Health…,"HEALTHCARE, MEDICAL DEVICES",https://www.ycombinator.com/companies/isono-health,,,
"GetAcceptMalmö, Skåne County, Sweden",Winter 2016,,Close deals faster. Digitally.,"B2B, SALES",https://www.ycombinator.com/companies/getaccept,,,
Chatfuel,Winter 2016,"San Francisco, CA, USA",Platform to easily create chatbots to engage with audiences on…,B2B,https://www.ycombinator.com/companies/chatfuel,,,
Yardbook,Winter 2016,"San Francisco, CA, USA",Marketplace & Software Revolutionizing Yard Care,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/yardbook,,,
"GoCardlessLondon, England, United Kingdom",Summer 2011,,We’re building the world’s bank payment network.,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/gocardless,,,
Stealth Worker,Winter 2016,"San Francisco, CA, USA","Information Security (Cyber Security), Compliance and Privacy (GDPR &…","B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/stealth-worker,,,
Deepgram,Winter 2016,"San Francisco, CA, USA",Building foundational AI for speech transcription and understanding.,B2B,https://www.ycombinator.com/companies/deepgram,,,
"SOUNDBOKSCopenhagen, Denmark",Winter 2016,,We're creating the loudest battery-driven speaker on the market,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/soundboks,,,
Lattice,Winter 2016,"San Francisco, CA, USA",Modern people management platform.,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/lattice,,,
Mux,Winter 2016,"San Francisco, CA, USA",Video infrastructure for developers,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/mux,,,
Human Interest,Summer 2015,"San Francisco, CA, USA",The 401(k) for small and medium-sized businesses.,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/human-interest,,,
"Flirtey (SkyDrop)Blountville, TN, USA",Summer 2015,,Flirtey is the world’s first commercial drone delivery service and…,"INDUSTRIALS, DRONES",https://www.ycombinator.com/companies/flirtey,,,
Eight Sleep,Summer 2015,"New York City, NY, USA",The sleep fitness company.,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/eight-sleep,,,
Instawork,Summer 2015,"San Francisco, CA, USA",A flexible work app that connects businesses with hourly workers.,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/instawork,,,
Cofactor Genomics,Summer 2015,"St. Louis, MO, USA",Cofactor closes the precision medicine gap with predictive diagnostics,"HEALTHCARE, DIAGNOSTICS",https://www.ycombinator.com/companies/cofactor-genomics,,,
Bitmovin,Summer 2015,"San Francisco, CA, USA",Powers OTT online video providers with video developer tools.,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/bitmovin,,,
TetraScience,Summer 2015,"Boston, MA, USA",The only R&D data cloud for life sciences,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/tetrascience,,,
The Ticket Fairy,Summer 2015,"Los Angeles, CA, USA",Revenue generation for live events,"CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/the-ticket-fairy,,,
Font Awesome,Summer 2015,"Bentonville, AR, USA",Icons and social logos for your website.,B2B,https://www.ycombinator.com/companies/font-awesome,,,
"80,000 HoursLondon, England, United Kingdom",Summer 2015,,An online guide that tells talented graduates how to maximise the…,UNSPECIFIED,https://www.ycombinator.com/companies/80-000-hours,,,
"XenditJakarta, Jakarta, Indonesia",Summer 2015,,Provides payment infrastructure for Southeast Asia,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/xendit,,,
Shred Video,Summer 2015,"San Francisco, CA, USA",Shred Video builds automated video & photo systems that allow…,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/shred-video,,,
"Shape (ShapeScale)San Francisco, CA, USA",Summer 2015,,ShapeScale is a personal 3D scanner and fitness tracker that…,"CONSUMER, CONSUMER ELECTRONICS",https://www.ycombinator.com/companies/shape-shapescale,,,
RedCarpetUp,Summer 2015,"Gurugram, HR, India",Credit cards for Indians that banks cannot see,"FINTECH, CONSUMER FINANCE",https://www.ycombinator.com/companies/redcarpetup,,,
"Plate IQLondon, England, United Kingdom",Summer 2015,,Automated Accounts Payable,"FINTECH, PAYMENTS",https://www.ycombinator.com/companies/plate-iq,,,
PickTrace,Summer 2015,"Los Angeles, CA, USA",Workforce Management for Large Farms,"INDUSTRIALS, AGRICULTURE",https://www.ycombinator.com/companies/picktrace,,,
Fountain,Summer 2015,"San Francisco, CA, USA",High volume hiring made simple,"B2B, RECRUITING AND TALENT",https://www.ycombinator.com/companies/fountain,,,
"MicrohealthCT, Spain",Summer 2015,,Digital hematology,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/microhealth,,,
Zeplin,Summer 2015,"San Francisco, CA, USA",Deliver on the Promise of Design,B2B,https://www.ycombinator.com/companies/zeplin,,,
Markhor,Summer 2015,"San Francisco, CA, USA",Markhor is a DTC company that works with craftsmen to make shoes and…,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/markhor,,,
Circle Medical,Summer 2015,,Modern primary care via video and in-person,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/circle-medical,,,
GiveCampus,Summer 2015,"Washington, DC, USA",The fundraising platform for schools.,EDUCATION,https://www.ycombinator.com/companies/givecampus,,,
"Drip CapitalMH, India",Summer 2015,,Digital trade finance and B2B commerce company,FINTECH,https://www.ycombinator.com/companies/drip-capital,,,
"ChaldalDhaka, Dhaka Division, Bangladesh",Summer 2015,,FOOD AND BEVERAGE,CONSUMER,https://www.ycombinator.com/companies/chaldal,,,
Clerky,Summer 2011,"San Francisco, CA, USA",Makes legal paperwork easy for startups and their attorneys.,"B2B, LEGAL",https://www.ycombinator.com/companies/clerky,,,
Bodyport,Summer 2015,"San Francisco, CA, USA",Predicting and preventing heart disease.,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/bodyport,,,
Verge Genomics,Summer 2015,"San Francisco, CA, USA",We use human data and AI to develop better drugs faster.,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/verge-genomics,,,
Thrive Agritech,Summer 2015,"Seattle, WA, USA",We design and manufacture energy efficient LED lighting fixtures for…,"INDUSTRIALS, AGRICULTURE",https://www.ycombinator.com/companies/thrive-agritech,,,
Tesorio,Summer 2015,"San Francisco, CA, USA",Tesorio is the cash flow performance platform that helps finance…,"B2B, FINANCE AND ACCOUNTING",https://www.ycombinator.com/companies/tesorio,,,
Agile,Summer 2011,"MDSan Francisco, CA, USA",Predictive analytics and clinical pathways for hospitals,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/agilemd,,,
Reach,Summer 2015,"San Francisco, CA, USA","Long range, wireless energy distribution that scales","INDUSTRIALS, ENERGY",https://www.ycombinator.com/companies/reach,,,
"SunFarmerKathmandu, Central Development Region, Nepal",Summer 2015,,Reliable and affordable solar energy in developing countries.,"INDUSTRIALS, CLIMATE",https://www.ycombinator.com/companies/sunfarmer,,,
"Confident LIMSSan Francisco, CA, USA",Summer 2015,,Laboratory Information Management System (LIMS) serving…,"B2B, OPERATIONS",https://www.ycombinator.com/companies/confident-lims,,,
"Branch8Kowloon, Hong Kong",Summer 2015,,Branch8 helps sellers to list and manage products on e-commerce…,"B2B, RETAIL",https://www.ycombinator.com/companies/branch8,,,
"Heroic LabsLondon, England, United Kingdom",Summer 2015,,"Social Infrastructure for Games; Makers of Nakama game server, Satori…","CONSUMER, GAMING",https://www.ycombinator.com/companies/heroic-labs,,,
SnapMagic,Summer 2015,"San Francisco, CA, USA",AI-assisted electronics design,B2B,https://www.ycombinator.com/companies/snapmagic,,,
Assembly,Summer 2015,"San Francisco, CA, USA",Advanced manufacturing and distribution solutions (for China-based…,"B2B, SUPPLY CHAIN AND LOGISTICS",https://www.ycombinator.com/companies/assembly,,,
Gemnote,Summer 2015,"San Francisco, CA, USA","Gemnote is the easiest way to design, create and send custom products.","B2B, OFFICE MANAGEMENT",https://www.ycombinator.com/companies/gemnote,,,
New Story,Summer 2015,"Atlanta, GA, USA",We pioneer solutions to end the global housing crisis by empowering…,REAL ESTATE AND CONSTRUCTION,https://www.ycombinator.com/companies/new-story,,,
Ironclad,Summer 2015,"San Francisco, CA, USA",AI-powered contract management,"B2B, LEGAL",https://www.ycombinator.com/companies/ironclad,,,
Leaders In Tech,Summer 2015,"San Francisco, CA, USA",Become the leader your company needs.,UNSPECIFIED,https://www.ycombinator.com/companies/leaders-in-tech,,,
tea,Summer 2015,"BOTToronto, ON, Canada",A robot that makes tea!,"B2B, HUMAN RESOURCES",https://www.ycombinator.com/companies/teabot,,,
Teleport,Summer 2015,"San Francisco, CA, USA",The Infrastructure Identity Company,"B2B, INFRASTRUCTURE",https://www.ycombinator.com/companies/teleport,,,
Lugg,Summer 2015,"San Francisco, CA, USA","Move anything, anytime, anywhere","CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/lugg,,,
Shasqi,Winter 2015,"San Francisco, CA, USA",Targeting Cancer with Click Chemistry,"HEALTHCARE, DRUG DISCOVERY AND DELIVERY",https://www.ycombinator.com/companies/shasqi,,,
Mashgin,Winter 2015,"San Francisco, CA, USA",Self-Checkout using Computer Vision.,"B2B, RETAIL",https://www.ycombinator.com/companies/mashgin,,,
NimbleRx,Winter 2015,"San Francisco, CA, USA",On-demand prescription delivery.,"HEALTHCARE, CONSUMER HEALTH AND WELLNESS",https://www.ycombinator.com/companies/nimblerx,,,
Quartzy,Summer 2011,"San Francisco, CA, USA",Marketplace for life science supplies.,"HEALTHCARE, HEALTHCARE IT",https://www.ycombinator.com/companies/quartzy,,,
Replika,Winter 2015,"San Francisco, CA, USA",Replika is an AI friend that you can talk to designed to make you…,"CONSUMER, CONTENT",https://www.ycombinator.com/companies/replika,,,
"Tara AISan Francisco, CA, USA",Winter 2015,,"Meet Tara AI, your new engineering efficiency co-pilot.","B2B, PRODUCTIVITY",https://www.ycombinator.com/companies/tara-ai,,,
Flip,Winter 2015,"Los Angeles, CA, USA",Community-driven marketplace for sneakers.,"CONSUMER, APPAREL AND COSMETICS",https://www.ycombinator.com/companies/flip,,,
"X-ZellBangkok, Thailand",Winter 2015,,"Early, pain-free cancer detection.","HEALTHCARE, DIAGNOSTICS",https://www.ycombinator.com/companies/x-zell,,,
Zenflow,Winter 2015,"San Francisco, CA, USA","Medical device that provides a more effective, less invasive…","HEALTHCARE, MEDICAL DEVICES",https://www.ycombinator.com/companies/zenflow,,,
"TabLondon, England, United Kingdom",Winter 2015,,"Revolutionising the way travellers discover, plan and book a trip","CONSUMER, TRAVEL, LEISURE AND TOURISM",https://www.ycombinator.com/companies/tab,,,
Streak,Summer 2011,"San Francisco, CA, USA",Streak transforms Gmail into a powerful CRM,"B2B, SALES",https://www.ycombinator.com/companies/streak,,,
Meadow,Winter 2015,"San Francisco, CA, USA",Point of Sale and Compliance SaaS for Cannabis Dispensaries,"B2B, RETAIL",https://www.ycombinator.com/companies/meadow,,,
Level Frames,Winter 2015,"New York City, NY, USA",Software eats custom framing,"CONSUMER, HOME AND PERSONAL",https://www.ycombinator.com/companies/level-frames,,,
