startup_name,industry,country,funding_amount_usd,funding_stage,source_dataset
Duncan Ltd,AI,France,32753106.0,Series B,startup_funding_dataset
Smith LLC,Education,UK,17314923.0,Series B,startup_funding_dataset
"Sandoval, Campbell and Green",Tech,USA,39116617.0,Series B,startup_funding_dataset
"Munoz, Avery and Jacobson",SaaS,Netherlands,213927473.0,IPO,startup_funding_dataset
Matthews-Willis,Finance,Netherlands,7874060.0,Series A,startup_funding_dataset
"Davis, Farmer and Curtis",Health,UK,2611381.0,Series A,startup_funding_dataset
Stark and Sons,Gaming,Netherlands,872233528.0,IPO,startup_funding_dataset
Johnson and Sons,E-commerce,France,5856960.0,Series A,startup_funding_dataset
Smith-Wu,Health,USA,32373997.0,Series B,startup_funding_dataset
"Tate, Mclean and Simpson",AI,UK,334120.0,Seed,startup_funding_dataset
Stafford and Sons,E-commerce,UK,148414162.0,Series C,startup_funding_dataset
Nichols Ltd,Gaming,USA,128184206.0,Series C,startup_funding_dataset
Moreno Group,Finance,France,16083786.0,Series B,startup_funding_dataset
"Douglas, Delgado and Miller",E-commerce,Canada,58539317.0,Series C,startup_funding_dataset
Ibarra-Meyer,Tech,UK,138166484.0,Series C,startup_funding_dataset
Robinson Group,AI,Netherlands,109072157.0,Series C,startup_funding_dataset
"Young, Braun and Mcdowell",Finance,Australia,49531232.0,Series B,startup_funding_dataset
Chavez Ltd,Health,India,140656086.0,Series C,startup_funding_dataset
Greene-Young,AI,Germany,520823899.0,IPO,startup_funding_dataset
"Valentine, Guzman and Jones",SaaS,Germany,124299329.0,Series C,startup_funding_dataset
Farley-Richardson,Finance,Netherlands,22297876.0,Series B,startup_funding_dataset
"Ray, Evans and Williams",Education,Australia,941305234.0,IPO,startup_funding_dataset
Boone-Rodriguez,Health,Australia,5217077.0,Series A,startup_funding_dataset
Brock and Sons,Health,India,231564796.0,IPO,startup_funding_dataset
"Curtis, Burns and Cochran",AI,USA,284177133.0,IPO,startup_funding_dataset
"Daugherty, Santana and Bradley",E-commerce,USA,34154324.0,Series B,startup_funding_dataset
Harris-Price,AI,UK,7410532.0,Series A,startup_funding_dataset
Henry-Peck,Education,Australia,180698577.0,Series C,startup_funding_dataset
Banks LLC,Gaming,Netherlands,916547613.0,IPO,startup_funding_dataset
"Cruz, Ward and Munoz",SaaS,Canada,494110.0,Seed,startup_funding_dataset
Sparks-Burton,Finance,Canada,148876033.0,Series C,startup_funding_dataset
Wise-Stuart,Tech,France,157372.0,Seed,startup_funding_dataset
Kelly-Dawson,SaaS,Canada,13866350.0,Series B,startup_funding_dataset
Lang-Davis,Education,India,3162430.0,Series A,startup_funding_dataset
"Obrien, Meyer and Whitehead",Gaming,India,17617184.0,Series B,startup_funding_dataset
"Jordan, Bean and Burns",Tech,USA,9121035.0,Series A,startup_funding_dataset
Gray-Martin,Finance,France,73194843.0,Series C,startup_funding_dataset
Shelton Inc,Finance,India,166182317.0,Series C,startup_funding_dataset
"Deleon, Mathis and Robinson",SaaS,India,37872070.0,Series B,startup_funding_dataset
"Jones, Carter and Foster",AI,India,178567.0,Seed,startup_funding_dataset
Byrd-Schwartz,E-commerce,USA,388086.0,Seed,startup_funding_dataset
Kennedy Group,Health,Canada,274166.0,Seed,startup_funding_dataset
"Estrada, Kelley and Carrillo",Finance,UK,318871.0,Seed,startup_funding_dataset
Bailey-Jones,Tech,Germany,986622061.0,IPO,startup_funding_dataset
Parker Inc,Finance,Germany,50678.0,Seed,startup_funding_dataset
Stone and Sons,E-commerce,Australia,53869275.0,Series C,startup_funding_dataset
"Stephens, Best and Thompson",SaaS,Canada,28294651.0,Series B,startup_funding_dataset
"Bishop, Wilson and Gonzalez",Finance,Netherlands,39024908.0,Series B,startup_funding_dataset
Brown and Sons,Tech,India,148231469.0,Series C,startup_funding_dataset
Nelson-Parker,Tech,Canada,45461696.0,Series B,startup_funding_dataset
Ellis-Cochran,Education,Germany,28443367.0,Series B,startup_funding_dataset
"Rogers, Henderson and Ramirez",SaaS,France,3062633.0,Series A,startup_funding_dataset
Moore-Baker,Health,Germany,916247470.0,IPO,startup_funding_dataset
Acosta-Brown,Education,Canada,3506879.0,Series A,startup_funding_dataset
Gonzalez-Raymond,SaaS,France,69976415.0,Series C,startup_funding_dataset
Singh and Sons,Education,Netherlands,22540239.0,Series B,startup_funding_dataset
Hayes Group,Health,France,223956.0,Seed,startup_funding_dataset
Ramirez PLC,Health,Netherlands,5296779.0,Series A,startup_funding_dataset
Price Group,E-commerce,UK,191996.0,Seed,startup_funding_dataset
Garza-Griffin,Education,UK,20047622.0,Series B,startup_funding_dataset
Reeves-Rivas,Tech,France,841483222.0,IPO,startup_funding_dataset
"Parker, Miles and Huff",Health,India,47655960.0,Series B,startup_funding_dataset
Smith and Sons,Education,Netherlands,377257561.0,IPO,startup_funding_dataset
Snyder-Webb,SaaS,India,7487648.0,Series A,startup_funding_dataset
Everett and Sons,Health,Australia,124525719.0,Series C,startup_funding_dataset
"Edwards, Burton and Carson",SaaS,Australia,283239139.0,IPO,startup_funding_dataset
"Crawford, Johnston and Everett",Finance,USA,869557948.0,IPO,startup_funding_dataset
"Rocha, Torres and Moore",Education,Canada,36331325.0,Series B,startup_funding_dataset
Johnson-Berry,Finance,India,153693.0,Seed,startup_funding_dataset
Cooper LLC,Education,France,14317058.0,Series B,startup_funding_dataset
Thompson PLC,SaaS,USA,412006.0,Seed,startup_funding_dataset
"Salas, Miller and Ruiz",Tech,India,22301846.0,Series B,startup_funding_dataset
Greer-Taylor,Finance,Netherlands,350434.0,Seed,startup_funding_dataset
Wolf-Anderson,SaaS,Canada,29369320.0,Series B,startup_funding_dataset
Fleming LLC,Gaming,India,63316823.0,Series C,startup_funding_dataset
Miller-Watson,Education,Canada,45702831.0,Series B,startup_funding_dataset
"Woods, Gomez and Graham",SaaS,Canada,247075552.0,IPO,startup_funding_dataset
"Cook, Perkins and Berger",Education,France,27183917.0,Series B,startup_funding_dataset
Sanders and Sons,Finance,UK,570368877.0,IPO,startup_funding_dataset
Shaw-Wolf,Education,Germany,18584071.0,Series B,startup_funding_dataset
Oneal Group,E-commerce,UK,146761.0,Seed,startup_funding_dataset
"Schmidt, Mathews and Boone",Finance,Netherlands,34101204.0,Series B,startup_funding_dataset
Beck-Ball,Education,Netherlands,8602589.0,Series A,startup_funding_dataset
"Morris, May and Henderson",Tech,Australia,72497446.0,Series C,startup_funding_dataset
Lee Group,AI,Canada,2146154.0,Series A,startup_funding_dataset
"King, Larson and Jones",AI,UK,412280666.0,IPO,startup_funding_dataset
Murphy-Holt,Health,France,7920973.0,Series A,startup_funding_dataset
"Marsh, Gibbs and Carpenter",Health,Canada,14508889.0,Series B,startup_funding_dataset
Williams-Reid,AI,India,4105436.0,Series A,startup_funding_dataset
Baker Ltd,Education,Australia,548514222.0,IPO,startup_funding_dataset
Jones Group,Education,France,77820.0,Seed,startup_funding_dataset
Munoz-Esparza,AI,Canada,542188990.0,IPO,startup_funding_dataset
Thomas-Valencia,E-commerce,Australia,48351554.0,Series B,startup_funding_dataset
Young-Cantrell,Gaming,Canada,43081334.0,Series B,startup_funding_dataset
Abbott Inc,Tech,India,752071506.0,IPO,startup_funding_dataset
Phelps LLC,Education,Netherlands,21166524.0,Series B,startup_funding_dataset
Glass Ltd,Education,India,225144.0,Seed,startup_funding_dataset
Kerr-Tran,Education,Germany,729605641.0,IPO,startup_funding_dataset
Brown-Miranda,Education,UK,34592957.0,Series B,startup_funding_dataset
Allen and Sons,Finance,India,10045027.0,Series B,startup_funding_dataset
Juarez-Woods,AI,Australia,3066783.0,Series A,startup_funding_dataset
"Lamb, Gibbs and Turner",AI,Australia,6935410.0,Series A,startup_funding_dataset
"Thomas, Gonzalez and Morris",Health,Germany,831048678.0,IPO,startup_funding_dataset
Matthews-Rios,Tech,Netherlands,372378.0,Seed,startup_funding_dataset
Torres-Williams,Health,India,821069773.0,IPO,startup_funding_dataset
Chavez-Stewart,Education,Australia,32784848.0,Series B,startup_funding_dataset
Parks Ltd,Education,Canada,25596692.0,Series B,startup_funding_dataset
"Yates, Simmons and Baker",Education,France,12667611.0,Series B,startup_funding_dataset
Huerta and Sons,Health,Australia,424919.0,Seed,startup_funding_dataset
Brooks-Wong,SaaS,Australia,99132917.0,Series C,startup_funding_dataset
Terry-Powell,Education,Germany,49229577.0,Series B,startup_funding_dataset
Conner-Kramer,Education,Netherlands,142338789.0,Series C,startup_funding_dataset
Baker-Stanley,Finance,Australia,97282704.0,Series C,startup_funding_dataset
"Turner, Huff and Poole",E-commerce,USA,164407.0,Seed,startup_funding_dataset
Walker Ltd,Tech,Canada,6032335.0,Series A,startup_funding_dataset
Williams Ltd,E-commerce,Canada,489847.0,Seed,startup_funding_dataset
Elliott and Sons,Gaming,UK,1690432.0,Series A,startup_funding_dataset
Ramirez Inc,Tech,India,421730.0,Seed,startup_funding_dataset
"Rivas, Chan and Brown",Gaming,USA,337012326.0,IPO,startup_funding_dataset
Sanders-Burke,E-commerce,Germany,60774066.0,Series C,startup_funding_dataset
Turner LLC,Gaming,Canada,125641.0,Seed,startup_funding_dataset
"Good, Yoder and Jackson",E-commerce,Netherlands,38075399.0,Series B,startup_funding_dataset
"Curry, Bates and Anderson",AI,Canada,39625570.0,Series B,startup_funding_dataset
"Meyer, Munoz and Carr",SaaS,France,50460885.0,Series C,startup_funding_dataset
Anderson Group,Health,UK,301602752.0,IPO,startup_funding_dataset
Hamilton-Walls,SaaS,France,12802656.0,Series B,startup_funding_dataset
Warren Inc,Finance,Australia,186575.0,Seed,startup_funding_dataset
"Moore, Brady and Moore",Gaming,Netherlands,1142173.0,Series A,startup_funding_dataset
Parker-Morse,Finance,USA,471355889.0,IPO,startup_funding_dataset
Vasquez-Walters,Health,Canada,3250347.0,Series A,startup_funding_dataset
Johnson-Barnett,E-commerce,UK,11478876.0,Series B,startup_funding_dataset
"Ramirez, Adkins and Peterson",Finance,Australia,632745442.0,IPO,startup_funding_dataset
"Ward, Watts and Rubio",SaaS,France,389253282.0,IPO,startup_funding_dataset
Powell-Calhoun,Gaming,Netherlands,170187501.0,Series C,startup_funding_dataset
Harris-Thomas,AI,USA,244055.0,Seed,startup_funding_dataset
"Munoz, Taylor and Mason",E-commerce,Netherlands,441415.0,Seed,startup_funding_dataset
"Rogers, Sandoval and Bullock",Tech,Australia,9255795.0,Series A,startup_funding_dataset
Gray-Mora,Health,USA,34980399.0,Series B,startup_funding_dataset
"Nelson, Wright and Mckenzie",AI,France,154780161.0,Series C,startup_funding_dataset
"King, Garcia and Curry",SaaS,USA,322397916.0,IPO,startup_funding_dataset
Griffith-Collins,AI,France,3386561.0,Series A,startup_funding_dataset
"Stevenson, Sweeney and Bishop",Education,India,815671936.0,IPO,startup_funding_dataset
"Davenport, Butler and Singleton",AI,Germany,228716371.0,IPO,startup_funding_dataset
Reyes LLC,SaaS,USA,34067110.0,Series B,startup_funding_dataset
Austin LLC,SaaS,UK,64833.0,Seed,startup_funding_dataset
Martin-Rasmussen,AI,Germany,493049.0,Seed,startup_funding_dataset
White Inc,Finance,Netherlands,51297917.0,Series C,startup_funding_dataset
"Cunningham, Smith and Hoffman",Finance,Netherlands,175327.0,Seed,startup_funding_dataset
Baldwin Inc,Education,USA,702209625.0,IPO,startup_funding_dataset
Carroll-Gallagher,Finance,Netherlands,42929886.0,Series B,startup_funding_dataset
White LLC,Health,Germany,328713369.0,IPO,startup_funding_dataset
"Reynolds, Gay and Chambers",Health,Canada,444237.0,Seed,startup_funding_dataset
Pearson-Hernandez,Health,UK,613964813.0,IPO,startup_funding_dataset
Grimes and Sons,Education,USA,180450.0,Seed,startup_funding_dataset
"Lane, Jordan and Carter",Health,Canada,37632662.0,Series B,startup_funding_dataset
Boone Inc,Gaming,Canada,7302274.0,Series A,startup_funding_dataset
Garcia-Hall,E-commerce,UK,405166.0,Seed,startup_funding_dataset
Carr-Woods,SaaS,Netherlands,36108741.0,Series B,startup_funding_dataset
Jackson LLC,Finance,Canada,9168744.0,Series A,startup_funding_dataset
"Miller, Rodriguez and Silva",Health,Netherlands,89202.0,Seed,startup_funding_dataset
"Ward, Martinez and Abbott",Gaming,Australia,1162729.0,Series A,startup_funding_dataset
Martin PLC,Education,France,201471652.0,IPO,startup_funding_dataset
Torres Group,Health,Australia,410375.0,Seed,startup_funding_dataset
Wallace Inc,E-commerce,USA,104011964.0,Series C,startup_funding_dataset
Mcknight LLC,SaaS,Netherlands,233461115.0,IPO,startup_funding_dataset
Davis-Davis,SaaS,Canada,14466756.0,Series B,startup_funding_dataset
"Thompson, Sanchez and Raymond",Tech,UK,53295138.0,Series C,startup_funding_dataset
"Simmons, Byrd and Rivera",Tech,UK,16694613.0,Series B,startup_funding_dataset
Smith Inc,Education,UK,267061.0,Seed,startup_funding_dataset
"Mack, Walters and Taylor",Health,India,2022827.0,Series A,startup_funding_dataset
Obrien Ltd,Tech,Canada,99148884.0,Series C,startup_funding_dataset
"Manning, Cross and Rojas",Tech,France,253675260.0,IPO,startup_funding_dataset
"Vaughn, Foley and Buchanan",AI,France,77733276.0,Series C,startup_funding_dataset
Conner Ltd,E-commerce,Netherlands,21423314.0,Series B,startup_funding_dataset
Wong Inc,AI,Netherlands,520732786.0,IPO,startup_funding_dataset
Andrews Group,Education,Germany,1178111.0,Series A,startup_funding_dataset
"Hernandez, Cruz and Johnson",E-commerce,UK,287400159.0,IPO,startup_funding_dataset
Johnson Group,AI,UK,4817417.0,Series A,startup_funding_dataset
Jordan LLC,AI,Canada,2006706.0,Series A,startup_funding_dataset
Moore and Sons,Tech,Australia,16484644.0,Series B,startup_funding_dataset
Miller Inc,Education,India,478715.0,Seed,startup_funding_dataset
Vargas Group,Tech,UK,9413542.0,Series A,startup_funding_dataset
"Lee, Wolfe and Anderson",Health,Germany,389146.0,Seed,startup_funding_dataset
Peterson and Sons,AI,Netherlands,9343742.0,Series A,startup_funding_dataset
Adams-Williams,Health,USA,2007980.0,Series A,startup_funding_dataset
Estrada-Gamble,AI,Australia,17774850.0,Series B,startup_funding_dataset
Hill-Cruz,AI,USA,40502023.0,Series B,startup_funding_dataset
Rodriguez-Byrd,Education,Netherlands,15916609.0,Series B,startup_funding_dataset
"Howard, Harris and Brown",Tech,India,73482.0,Seed,startup_funding_dataset
Larson-Wilson,Health,Canada,1869271.0,Series A,startup_funding_dataset
James-Collins,Health,Canada,5509879.0,Series A,startup_funding_dataset
"Farrell, Patrick and Brandt",Tech,UK,995878549.0,IPO,startup_funding_dataset
Contreras Group,Health,Australia,62249166.0,Series C,startup_funding_dataset
Rodriguez Group,E-commerce,USA,46269142.0,Series B,startup_funding_dataset
Garcia and Sons,Tech,Canada,1530226.0,Series A,startup_funding_dataset
Perkins PLC,Tech,India,17693909.0,Series B,startup_funding_dataset
Taylor PLC,Finance,USA,85503986.0,Series C,startup_funding_dataset
Salinas and Sons,AI,UK,223193.0,Seed,startup_funding_dataset
Hamilton LLC,Education,USA,182935848.0,Series C,startup_funding_dataset
"Johnson, Gates and Tapia",Gaming,Netherlands,108515632.0,Series C,startup_funding_dataset
"Vasquez, Brown and Perry",Finance,India,27915714.0,Series B,startup_funding_dataset
"Bishop, Boone and Harmon",Tech,Germany,74093592.0,Series C,startup_funding_dataset
Bautista Ltd,AI,Australia,2836624.0,Series A,startup_funding_dataset
Rodriguez and Sons,Gaming,Netherlands,12031956.0,Series B,startup_funding_dataset
Morris-Hawkins,AI,Canada,14660466.0,Series B,startup_funding_dataset
Chan Ltd,Health,UK,185281738.0,Series C,startup_funding_dataset
Stanley Inc,SaaS,Canada,836932957.0,IPO,startup_funding_dataset
Jenkins-Atkinson,SaaS,USA,307116.0,Seed,startup_funding_dataset
"Miller, Simmons and Peters",AI,USA,457321922.0,IPO,startup_funding_dataset
Scott PLC,Gaming,Australia,28648755.0,Series B,startup_funding_dataset
Simmons-Kim,Tech,Germany,1052792.0,Series A,startup_funding_dataset
"Brennan, Young and Stevenson",AI,Canada,112374707.0,Series C,startup_funding_dataset
"Davis, Anderson and Giles",E-commerce,Canada,7335471.0,Series A,startup_funding_dataset
Woods PLC,Health,Netherlands,93509691.0,Series C,startup_funding_dataset
Long LLC,Health,Australia,96461.0,Seed,startup_funding_dataset
Brewer LLC,Gaming,Germany,537573458.0,IPO,startup_funding_dataset
"Davis, Odom and Miller",SaaS,India,379349.0,Seed,startup_funding_dataset
"Evans, Mata and Lester",E-commerce,UK,32774289.0,Series B,startup_funding_dataset
Hanson Inc,Tech,Netherlands,150362437.0,Series C,startup_funding_dataset
"Thomas, Berry and Carlson",Health,India,506284197.0,IPO,startup_funding_dataset
Mendoza-Mason,SaaS,Canada,291000172.0,IPO,startup_funding_dataset
Martin-Farrell,AI,Canada,685393082.0,IPO,startup_funding_dataset
"Howe, Doyle and Roberts",Education,USA,387139.0,Seed,startup_funding_dataset
"Torres, Zhang and Carlson",Education,India,15847640.0,Series B,startup_funding_dataset
Kelly PLC,E-commerce,UK,158625019.0,Series C,startup_funding_dataset
Ramsey-Thomas,E-commerce,Netherlands,32573750.0,Series B,startup_funding_dataset
Spence and Sons,E-commerce,France,22834637.0,Series B,startup_funding_dataset
Hill PLC,Education,USA,43258256.0,Series B,startup_funding_dataset
Lopez and Sons,SaaS,USA,21702798.0,Series B,startup_funding_dataset
"Day, Cuevas and Cameron",Finance,Australia,808840839.0,IPO,startup_funding_dataset
Galvan Inc,SaaS,India,90977490.0,Series C,startup_funding_dataset
Rodriguez-Smith,Tech,India,912737835.0,IPO,startup_funding_dataset
Thompson-Madden,Gaming,Canada,114827.0,Seed,startup_funding_dataset
Smith PLC,Finance,Australia,9140393.0,Series A,startup_funding_dataset
Thomas Inc,E-commerce,USA,495641256.0,IPO,startup_funding_dataset
"Davis, Stokes and Hamilton",Tech,India,587103817.0,IPO,startup_funding_dataset
Williams PLC,Gaming,Canada,224995137.0,IPO,startup_funding_dataset
Cole-Robles,SaaS,Australia,422687815.0,IPO,startup_funding_dataset
Phillips PLC,Health,Netherlands,85177336.0,Series C,startup_funding_dataset
Williams-Sullivan,Education,Australia,9022504.0,Series A,startup_funding_dataset
"Carson, Rodriguez and Buck",Gaming,Netherlands,150351.0,Seed,startup_funding_dataset
Williams and Sons,SaaS,USA,393413993.0,IPO,startup_funding_dataset
Taylor Ltd,Finance,UK,4082159.0,Series A,startup_funding_dataset
"Romero, Davis and Torres",Gaming,Australia,74968515.0,Series C,startup_funding_dataset
Hamilton-Miller,Health,India,57892648.0,Series C,startup_funding_dataset
Campbell-Contreras,SaaS,France,752868352.0,IPO,startup_funding_dataset
"Gomez, Valentine and Castillo",Tech,India,4486508.0,Series A,startup_funding_dataset
Mcmahon LLC,E-commerce,Australia,939739297.0,IPO,startup_funding_dataset
Lewis PLC,Gaming,France,6738964.0,Series A,startup_funding_dataset
"Flores, Bailey and Carpenter",Health,Canada,16121029.0,Series B,startup_funding_dataset
Aguirre LLC,Tech,Australia,13416126.0,Series B,startup_funding_dataset
"Rosario, Beltran and Dillon",Education,Netherlands,207191.0,Seed,startup_funding_dataset
Warner Ltd,Gaming,USA,4084024.0,Series A,startup_funding_dataset
Cox-Pollard,E-commerce,Germany,33731998.0,Series B,startup_funding_dataset
Kim-Nolan,E-commerce,Netherlands,2954881.0,Series A,startup_funding_dataset
Douglas PLC,SaaS,Germany,154865.0,Seed,startup_funding_dataset
Valentine-White,Health,Netherlands,219234518.0,IPO,startup_funding_dataset
Fuller-Powell,AI,Netherlands,117929.0,Seed,startup_funding_dataset
Griffith-Meadows,Gaming,Netherlands,40879456.0,Series B,startup_funding_dataset
Irwin-Jones,Tech,Canada,447331.0,Seed,startup_funding_dataset
Curtis Ltd,AI,Netherlands,21115885.0,Series B,startup_funding_dataset
"Smith, Anderson and Valentine",Finance,France,39885582.0,Series B,startup_funding_dataset
"Bell, Rodriguez and Montgomery",E-commerce,Canada,102060933.0,Series C,startup_funding_dataset
Cherry-Lawrence,SaaS,Germany,162878.0,Seed,startup_funding_dataset
English Group,Tech,Australia,134832.0,Seed,startup_funding_dataset
Fuller-Nelson,Tech,UK,207701.0,Seed,startup_funding_dataset
"Levine, Jensen and Johnson",Health,Germany,12096341.0,Series B,startup_funding_dataset
Wiley-Velez,Education,India,283454.0,Seed,startup_funding_dataset
"Moore, Pearson and Sullivan",Education,France,156565319.0,Series C,startup_funding_dataset
Garcia-Ford,SaaS,Canada,18792964.0,Series B,startup_funding_dataset
"Salazar, Hickman and Jones",E-commerce,Australia,6776070.0,Series A,startup_funding_dataset
Jackson-Parks,Gaming,France,443574.0,Seed,startup_funding_dataset
"Chang, Hampton and Bishop",Health,UK,556240974.0,IPO,startup_funding_dataset
Turner Inc,Finance,Germany,116229244.0,Series C,startup_funding_dataset
Cole-Greer,AI,Netherlands,58159.0,Seed,startup_funding_dataset
Brown PLC,AI,Australia,416638.0,Seed,startup_funding_dataset
Burns Inc,Education,Germany,1642310.0,Series A,startup_funding_dataset
Larson-Barnett,SaaS,Canada,86197033.0,Series C,startup_funding_dataset
Palmer-Wilson,Finance,Netherlands,154450061.0,Series C,startup_funding_dataset
Thompson Group,Education,Netherlands,4551177.0,Series A,startup_funding_dataset
"Ramirez, Dougherty and Allen",Education,Netherlands,981555785.0,IPO,startup_funding_dataset
Peterson Ltd,Gaming,Canada,673783966.0,IPO,startup_funding_dataset
Jackson-Maxwell,E-commerce,Australia,558998116.0,IPO,startup_funding_dataset
"Smith, Mcdaniel and Foley",AI,India,21375613.0,Series B,startup_funding_dataset
Ward-Hernandez,Finance,India,60342338.0,Series C,startup_funding_dataset
"Parker, Gilbert and Davis",Finance,Canada,461767963.0,IPO,startup_funding_dataset
Landry Group,Finance,Netherlands,32977619.0,Series B,startup_funding_dataset
Smith-Brown,E-commerce,UK,979194089.0,IPO,startup_funding_dataset
"Woods, Hicks and Moore",AI,France,197279381.0,Series C,startup_funding_dataset
Hernandez-Moore,Health,Germany,354136600.0,IPO,startup_funding_dataset
"Wu, Long and Charles",AI,Australia,446316866.0,IPO,startup_funding_dataset
Sexton LLC,Gaming,Netherlands,626248974.0,IPO,startup_funding_dataset
Martinez-Turner,Tech,Australia,129261092.0,Series C,startup_funding_dataset
Ford Ltd,Education,USA,13728713.0,Series B,startup_funding_dataset
Watson-Sawyer,AI,Canada,152348236.0,Series C,startup_funding_dataset
"Padilla, Wilcox and Ramsey",Finance,UK,130169747.0,Series C,startup_funding_dataset
Smith-Lester,E-commerce,UK,84000595.0,Series C,startup_funding_dataset
"Sellers, Robertson and Joseph",Health,UK,430803880.0,IPO,startup_funding_dataset
