investor_id,investor_name,investor_type,hq_country,founded_year,aum_billion_usd,total_deals_in_dataset,total_invested_million_usd,avg_deal_size_million_usd,top_sector,top_stage
INV0061,Amazon Alexa Fund,Angel Investor,United States,1963,6.7,45,704.25,15.65,Artificial Intelligence,Seed
INV0062,Qualcomm Ventures,Angel Investor,Israel,2001,3.9,37,268.72,7.26,Fintech,Pre-Seed
INV0063,Rakuten Capital,Venture Capital,United Kingdom,2002,6.3,33,778.12,23.58,SaaS / Enterprise Software,Seed
INV0064,Mitsubishi UFJ Capital,Corporate VC,China,1966,21.0,29,238.67,8.23,Artificial Intelligence,Seed
INV0065,SBI Investment,Angel Investor,UAE,1994,0.4,33,503.5,15.26,Artificial Intelligence,Pre-Seed
INV0066,Naspers / Prosus,Angel Investor,United States,1963,13.8,33,401.04,12.15,Artificial Intelligence,Pre-Seed
INV0067,Kingsway Capital,Corporate VC,United Kingdom,1990,1.0,40,325.27,8.13,Fintech,Pre-Seed
INV0068,TLcom Capital,Angel Investor,France,1985,11.4,44,611.12,13.89,SaaS / Enterprise Software,Seed
INV0069,Partech Africa,Private Equity,China,2005,2.3,37,436.31,11.79,Healthcare & Biotech,Pre-Seed
INV0070,Chiratae Ventures,Venture Capital,United States,2005,7.5,28,499.92,17.85,Artificial Intelligence,Pre-Seed
INV0071,Blume Ventures,Corporate VC,United States,1968,12.8,36,611.18,16.98,Fintech,Seed
INV0072,Nexus Venture Partners,Angel Investor,United States,2020,3.3,33,245.13,7.43,Artificial Intelligence,Pre-Seed
INV0073,Accel India,Venture Capital,Singapore,1977,0.8,28,584.09,20.86,Fintech,Seed
