round_id,startup_id,startup_name,funding_date,year,quarter,funding_stage,amount_million_usd,pre_money_valuation_million_usd,post_money_valuation_million_usd,equity_dilution_pct,lead_investor,investor_type,num_investors,sector,country,region,city,investor_id
R00024,S00012,MetaCloud,2023-12-24,2023,Q4,Series B,27.79,161.63,189.42,29.7,Rakuten Capital,Angel Investor,5,Healthcare & Biotech,Poland,Europe,Kraków,INV0063
R00025,S00013,JetAI,2020-02-29,2020,Q1,Seed,5.8,50.53,56.33,13.1,First Round Capital,Corporate VC,2,Artificial Intelligence,United States,North America,Austin,INV0040
R00026,S00014,TideSecurity,2021-07-15,2021,Q3,Pre-Seed,0.54,1.95,2.49,13.3,Accel Partners,Accelerator,4,Web3 / Blockchain,India,Asia,Bangalore,INV0004
R00027,S00015,ProtoAnalytics,2022-03-13,2022,Q1,Seed,1.32,11.45,12.77,15.0,Naspers / Prosus,Venture Capital,4,Artificial Intelligence,United States,North America,Chicago,INV0066
R00028,S00016,YieldPlatform,2022-08-18,2022,Q3,Seed,2.08,14.97,17.05,23.2,Kingsway Capital,Private Equity,2,Fintech,United States,North America,Seattle,INV0067
R00029,S00016,YieldPlatform,2023-05-22,2023,Q2,Series A,18.18,128.81,146.99,20.9,GIC,Corporate VC,4,Fintech,United States,North America,Seattle,INV0050
R00030,S00016,YieldPlatform,2023-08-28,2023,Q3,Series B,25.49,229.18,254.67,16.1,Andreessen Horowitz (a16z),Family Office,2,Fintech,United States,North America,Seattle,INV0002
R00031,S00017,ProtoWorks,2023-01-13,2023,Q1,Seed,1.07,7.59,8.66,21.5,Redpoint Ventures,Venture Capital,1,Fintech,UAE,Middle East,Dubai,INV0038
R00032,S00018,ArcCore,2022-10-06,2022,Q4,Pre-Seed,0.59,5.27,5.86,9.5,Founders Fund,Venture Capital,2,E-Commerce,United States,North America,Los Angeles,INV0014
R00033,S00019,EchoSense,2023-05-16,2023,Q2,Pre-Seed,0.36,2.66,3.02,14.2,NEA,Accelerator,6,Logistics & Supply Chain,United States,North America,Miami,INV0020
R00034,S00020,SageAI,2023-05-02,2023,Q2,Seed,0.5,4.62,5.12,23.0,Microsoft M12,Venture Capital,7,SaaS / Enterprise Software,Israel,Middle East,Haifa,INV0057
R00035,S00021,KiteLink,2021-08-23,2021,Q3,Pre-Seed,0.54,3.78,4.32,8.4,Lightspeed Venture Partners,Corporate VC,6,Fintech,China,Asia,Shanghai,INV0006
R00036,S00021,KiteLink,2020-10-11,2020,Q4,Seed,0.89,7.41,8.3,19.5,Y Combinator,Venture Capital,10,Fintech,China,Asia,Shanghai,INV0007
R00037,S00022,PulseWorks,2023-12-22,2023,Q4,Seed,3.44,26.38,29.82,10.9,Qualcomm Ventures,Venture Capital,2,Artificial Intelligence,India,Asia,Hyderabad,INV0062
R00038,S00023,HyperRobotics,2022-11-05,2022,Q4,Pre-Seed,0.49,1.54,2.03,10.7,Y Combinator,Venture Capital,3,Space Tech,Japan,Asia,Tokyo,INV0007
R00039,S00024,SwiftAnalytics,2020-03-09,2020,Q1,Seed,1.8,7.06,8.86,17.4,Tencent,Venture Capital,1,Cybersecurity,United Kingdom,Europe,London,INV0053
R00040,S00024,SwiftAnalytics,2025-06-09,2025,Q2,Series A,8.35,56.67,65.02,21.7,Founders Fund,Private Equity,1,Cybersecurity,United Kingdom,Europe,London,INV0014
R00041,S00025,PulseMind,2024-09-27,2024,Q3,Pre-Seed,0.2,1.48,1.68,14.4,Google Ventures,Accelerator,2,Fintech,Argentina,South America,Buenos Aires,INV0059
R00042,S00025,PulseMind,2023-11-22,2023,Q4,Series A,5.17,46.44,51.61,26.3,Elevation Capital,Family Office,4,Fintech,Argentina,South America,Buenos Aires,INV0036
R00043,S00026,YieldLink,2023-05-25,2023,Q2,Pre-Seed,0.52,4.82,5.34,7.8,Nexus Venture Partners,Venture Capital,7,Healthcare & Biotech,United Kingdom,Europe,London,INV0072
R00044,S00026,YieldLink,2023-02-22,2023,Q1,Seed,1.84,12.4,14.24,14.1,Seedcamp,Corporate VC,3,Healthcare & Biotech,United Kingdom,Europe,London,INV0028
R00045,S00026,YieldLink,2021-01-18,2021,Q1,Series B,23.03,184.05,207.08,20.9,Partech Africa,Accelerator,6,Healthcare & Biotech,United Kingdom,Europe,London,INV0069
R00046,S00027,AlphaCore,2021-08-09,2021,Q3,Seed,2.58,24.63,27.21,16.5,Peak XV Partners (fka Sequoia India),Family Office,1,Legal Tech,China,Asia,Shenzhen,INV0021
R00047,S00028,LumeForge,2020-01-28,2020,Q1,Seed,1.89,13.98,15.87,24.6,First Round Capital,Accelerator,9,Fintech,United States,North America,Denver,INV0040
R00048,S00028,LumeForge,2026-01-04,2026,Q1,Series A,7.59,57.45,65.04,19.3,Andreessen Horowitz (a16z),Family Office,6,Fintech,United States,North America,Denver,INV0002
R00049,S00028,LumeForge,2024-07-20,2024,Q3,Series C,62.88,483.22,546.1,9.6,NEA,Angel Investor,3,Fintech,United States,North America,Denver,INV0020
R00050,S00029,CruxSense,2023-04-09,2023,Q2,Seed,1.7,14.29,15.99,20.8,TLcom Capital,Accelerator,1,Fintech,United States,North America,New York,INV0068
R00051,S00029,CruxSense,2025-05-10,2025,Q2,Series B,64.1,291.4,355.5,26.1,Rakuten Capital,Venture Capital,4,Fintech,United States,North America,New York,INV0063
R00052,S00030,RuneBase,2023-01-04,2023,Q1,Seed,1.81,9.39,11.2,17.4,Partech,Angel Investor,4,Healthcare & Biotech,United States,North America,Seattle,INV0046
R00053,S00031,JetSense,2025-02-07,2025,Q1,Pre-Seed,0.53,3.46,3.99,12.8,Insight Partners,Venture Capital,4,Logistics & Supply Chain,India,Asia,Hyderabad,INV0010
R00054,S00032,AstraStack,2024-10-09,2024,Q4,Seed,1.05,4.36,5.41,22.4,SBI Investment,Venture Capital,7,Fintech,Singapore,Asia,Singapore,INV0065
R00055,S00032,AstraStack,2021-11-08,2021,Q4,Series A,10.42,123.81,134.23,16.5,GV (Google Ventures),Venture Capital,1,Fintech,Singapore,Asia,Singapore,INV0011
R00056,S00032,AstraStack,2020-07-15,2020,Q3,Series B,17.08,141.4,158.48,21.0,Samsung Ventures,Venture Capital,8,Fintech,Singapore,Asia,Singapore,INV0055
R00057,S00033,Runely,2020-05-12,2020,Q2,Pre-Seed,0.34,1.49,1.83,7.4,Norwest Venture Partners,Venture Capital,4,Fintech,United Kingdom,Europe,Cambridge,INV0037
R00058,S00033,Runely,2021-03-28,2021,Q1,Series A,18.67,187.9,206.57,29.2,Chiratae Ventures,Corporate VC,7,Fintech,United Kingdom,Europe,Cambridge,INV0070
R00059,S00034,OrionDynamics,2024-05-31,2024,Q2,Pre-Seed,0.85,5.43,6.28,12.5,NEA,Venture Capital,6,Healthcare & Biotech,United Kingdom,Europe,Bristol,INV0020
R00060,S00035,TidePay,2020-06-25,2020,Q2,Seed,4.45,37.66,42.11,19.0,TLcom Capital,Venture Capital,1,Artificial Intelligence,Saudi Arabia,Middle East,Riyadh,INV0068
R00061,S00036,HubBio,2021-08-01,2021,Q3,Pre-Seed,0.34,2.44,2.78,15.0,Qualcomm Ventures,Accelerator,2,Healthcare & Biotech,Japan,Asia,Tokyo,INV0062
R00062,S00036,HubBio,2023-02-19,2023,Q1,Seed,2.1,9.33,11.43,12.8,Abu Dhabi Investment Authority,Private Equity,1,Healthcare & Biotech,Japan,Asia,Tokyo,INV0051
R00063,S00037,HyperLogic,2020-12-05,2020,Q4,Pre-Seed,0.16,0.62,0.78,10.0,Techstars,Venture Capital,1,Real Estate Tech,Netherlands,Europe,Rotterdam,INV0024
R00064,S00038,VertexLink,2021-09-19,2021,Q3,Pre-Seed,0.94,3.91,4.85,10.5,Salesforce Ventures,Venture Capital,2,Robotics & Automation,Brazil,South America,São Paulo,INV0058
R00065,S00039,DataSense,2024-01-20,2024,Q1,Seed,1.65,6.27,7.92,16.9,Mitsubishi UFJ Capital,Venture Capital,2,Healthcare & Biotech,United States,North America,Seattle,INV0064
R00066,S00040,JetHealth,2022-07-13,2022,Q3,Pre-Seed,0.81,7.98,8.79,13.9,EQT Ventures,Venture Capital,3,SaaS / Enterprise Software,Spain,Europe,Barcelona,INV0030
R00067,S00041,VertexCloud,2024-03-27,2024,Q1,Seed,0.77,4.47,5.24,18.3,Google Ventures,Angel Investor,6,E-Commerce,India,Asia,Delhi NCR,INV0059
R00068,S00041,VertexCloud,2022-04-15,2022,Q2,Series A,43.15,507.15,550.3,19.5,500 Global,Government/Sovereign Fund,1,E-Commerce,India,Asia,Delhi NCR,INV0023
R00069,S00041,VertexCloud,2022-04-22,2022,Q2,Series C,59.3,393.27,452.57,19.9,Andreessen Horowitz (a16z),Venture Capital,4,E-Commerce,India,Asia,Delhi NCR,INV0002
R00070,S00042,NovaFinance,2022-04-08,2022,Q2,Seed,0.5,4.44,4.94,12.4,Sapphire Ventures,Corporate VC,6,E-Commerce,Japan,Asia,Osaka,INV0035
R00071,S00042,NovaFinance,2025-10-19,2025,Q4,Series A,6.29,69.98,76.27,20.6,BlueYard Capital,Private Equity,4,E-Commerce,Japan,Asia,Osaka,INV0029
R00072,S00042,NovaFinance,2023-11-16,2023,Q4,Series C,124.26,973.95,1098.21,23.5,SBI Investment,Private Equity,6,E-Commerce,Japan,Asia,Osaka,INV0065
R00073,S00043,ProtoFinance,2021-09-07,2021,Q3,Seed,2.48,21.56,24.04,24.0,Norwest Venture Partners,Accelerator,5,SaaS / Enterprise Software,India,Asia,Chennai,INV0037
R00074,S00043,ProtoFinance,2024-02-05,2024,Q1,Series B,10.0,99.26,109.26,23.9,Insight Partners,Accelerator,3,SaaS / Enterprise Software,India,Asia,Chennai,INV0010
R00075,S00044,NexusStack,2023-09-07,2023,Q3,Seed,1.88,17.56,19.44,22.5,Antler,Venture Capital,3,Robotics & Automation,India,Asia,Pune,INV0027
R00076,S00045,Metaverse,2022-08-02,2022,Q3,Seed,2.06,6.41,8.47,16.0,Rakuten Capital,Venture Capital,2,SaaS / Enterprise Software,Indonesia,Asia,Jakarta,INV0063
R00077,S00046,BoltAI,2021-01-13,2021,Q1,Seed,1.63,11.43,13.06,14.0,BlueYard Capital,Venture Capital,4,Edtech,India,Asia,Bangalore,INV0029
R00078,S00047,NexusHealth,2023-02-13,2023,Q1,Pre-Seed,0.49,3.43,3.92,7.5,Blume Ventures,Corporate VC,2,Edtech,Nigeria,Africa,Lagos,INV0071
R00079,S00047,NexusHealth,2021-01-20,2021,Q1,Seed,4.36,21.3,25.66,19.4,Seedcamp,Angel Investor,4,Edtech,Nigeria,Africa,Lagos,INV0028
R00080,S00048,ZenForge,2024-04-05,2024,Q2,Seed,1.0,6.11,7.11,22.0,Redpoint Ventures,Crowdfunding,6,Artificial Intelligence,Japan,Asia,Osaka,INV0038
R00081,S00049,DataCloud,2024-08-23,2024,Q3,Pre-Seed,1.35,6.26,7.61,10.4,Intel Capital,Venture Capital,3,Artificial Intelligence,United States,North America,Austin,INV0056
R00082,S00050,ApexHealth,2025-06-17,2025,Q2,Pre-Seed,0.73,2.76,3.49,11.7,Accel Partners,Government/Sovereign Fund,4,SaaS / Enterprise Software,China,Asia,Shanghai,INV0004
R00083,S00051,ApexSense,2022-12-20,2022,Q4,Seed,2.94,22.75,25.69,14.1,LocalGlobe,Angel Investor,9,Fintech,United Kingdom,Europe,Manchester,INV0042
R00084,S00051,ApexSense,2025-12-02,2025,Q4,Series A,8.68,94.79,103.47,22.8,TLcom Capital,Corporate VC,7,Fintech,United Kingdom,Europe,Manchester,INV0068
R00085,S00051,ApexSense,2020-08-21,2020,Q3,Series C,55.07,350.97,406.04,22.6,Khosla Ventures,Accelerator,1,Fintech,United Kingdom,Europe,Manchester,INV0012
R00086,S00052,VertexSecurity,2026-02-13,2026,Q1,Seed,1.12,9.62,10.74,11.8,Founders Fund,Venture Capital,3,Insurtech,Brazil,South America,São Paulo,INV0014
R00087,S00053,Fluxfy,2024-10-01,2024,Q4,Pre-Seed,0.32,2.79,3.11,9.5,Accel India,Family Office,2,Logistics & Supply Chain,France,Europe,Lyon,INV0073
R00088,S00054,FluxBase,2020-05-12,2020,Q2,Seed,0.96,8.61,9.57,14.6,Intel Capital,Private Equity,2,Food & AgriTech,United States,North America,Chicago,INV0056
R00089,S00054,FluxBase,2021-07-29,2021,Q3,Series B,31.8,273.15,304.95,17.3,Rakuten Capital,Crowdfunding,1,Food & AgriTech,United States,North America,Chicago,INV0063
R00090,S00054,FluxBase,2024-01-16,2024,Q1,Series D,86.43,319.03,405.46,19.4,TLcom Capital,Angel Investor,5,Food & AgriTech,United States,North America,Chicago,INV0068
R00091,S00055,WaveSpace,2021-08-27,2021,Q3,Seed,0.63,4.52,5.15,15.5,Founders Fund,Venture Capital,5,Fintech,United States,North America,Los Angeles,INV0014
R00092,S00055,WaveSpace,2024-09-10,2024,Q3,Series B,30.28,302.51,332.79,23.3,BlueYard Capital,Venture Capital,1,Fintech,United States,North America,Los Angeles,INV0029
R00093,S00056,DeltaStack,2021-03-13,2021,Q1,Pre-Seed,0.16,1.27,1.43,5.7,Tiger Global,Corporate VC,3,Fintech,Brazil,South America,Rio de Janeiro,INV0003
R00094,S00057,NeoNet,2024-03-29,2024,Q1,Pre-Seed,0.45,4.21,4.66,10.9,Headline,Venture Capital,3,SaaS / Enterprise Software,India,Asia,Chennai,INV0045
R00095,S00058,RapidBeam,2020-01-16,2020,Q1,Seed,1.01,9.2,10.21,17.2,Temasek,Angel Investor,7,Artificial Intelligence,Singapore,Asia,Singapore,INV0049
R00096,S00058,RapidBeam,2025-11-06,2025,Q4,Series B,51.01,486.58,537.59,26.1,Accel Partners,Crowdfunding,3,Artificial Intelligence,Singapore,Asia,Singapore,INV0004
R00097,S00059,Lumely,2024-05-19,2024,Q2,Seed,1.04,7.49,8.53,21.2,SoftBank Vision Fund,Venture Capital,4,Healthcare & Biotech,Poland,Europe,Kraków,INV0005
R00098,S00060,HubFlow,2025-12-30,2025,Q4,Seed,0.93,5.19,6.12,22.4,Samsung Ventures,Corporate VC,3,E-Commerce,United States,North America,Chicago,INV0055
R00099,S00061,NeoWorks,2024-03-14,2024,Q1,Pre-Seed,0.39,2.2,2.59,5.1,LocalGlobe,Accelerator,3,SaaS / Enterprise Software,United Kingdom,Europe,Bristol,INV0042
R00100,S00062,CloudAI,2022-04-01,2022,Q2,Seed,1.7,9.58,11.28,12.2,Salesforce Ventures,Corporate VC,1,Healthcare & Biotech,United States,North America,Los Angeles,INV0058
R00101,S00063,ZenoRobotics,2020-08-29,2020,Q3,Seed,1.59,6.76,8.35,12.8,Northzone,Corporate VC,3,Artificial Intelligence,United States,North America,Austin,INV0047
R00102,S00063,ZenoRobotics,2020-08-01,2020,Q3,Series B,26.52,128.94,155.46,19.6,SoftBank Vision Fund,Corporate VC,4,Artificial Intelligence,United States,North America,Austin,INV0005
R00103,S00063,ZenoRobotics,2022-03-20,2022,Q1,Series D,218.93,1057.91,1276.84,8.5,Abu Dhabi Investment Authority,Venture Capital,3,Artificial Intelligence,United States,North America,Austin,INV0051
R00104,S00064,VibeFlow,2020-11-26,2020,Q4,Pre-Seed,0.7,4.5,5.2,7.8,Plug and Play,Private Equity,2,E-Commerce,India,Asia,Chennai,INV0026
R00105,S00065,Metafy,2021-04-30,2021,Q2,Pre-Seed,0.65,4.6,5.25,5.6,Antler,Venture Capital,3,Gaming & Entertainment,India,Asia,Bangalore,INV0027
R00106,S00065,Metafy,2022-06-24,2022,Q2,Seed,3.16,16.76,19.92,24.2,SBI Investment,Venture Capital,6,Gaming & Entertainment,India,Asia,Bangalore,INV0065
R00107,S00066,ForgeWare,2023-04-15,2023,Q2,Seed,1.29,3.96,5.25,14.6,GV (Google Ventures),Venture Capital,4,Food & AgriTech,United States,North America,Chicago,INV0011
R00108,S00066,ForgeWare,2024-09-29,2024,Q3,Series A,7.06,55.9,62.96,20.0,NVIDIA NVentures,Venture Capital,5,Food & AgriTech,United States,North America,Chicago,INV0060
R00109,S00067,UltraWorks,2026-02-08,2026,Q1,Seed,2.29,15.14,17.43,18.4,Matrix Partners,Venture Capital,3,Healthcare & Biotech,Sweden,Europe,Stockholm,INV0022
R00110,S00068,Wavely,2022-01-08,2022,Q1,Pre-Seed,0.75,6.23,6.98,6.9,Chiratae Ventures,Government/Sovereign Fund,4,Artificial Intelligence,Poland,Europe,Warsaw,INV0070
R00111,S00068,Wavely,2024-11-25,2024,Q4,Series A,17.6,119.49,137.09,16.8,Microsoft M12,Corporate VC,4,Artificial Intelligence,Poland,Europe,Warsaw,INV0057
R00112,S00069,BetaBio,2022-07-12,2022,Q3,Pre-Seed,0.49,3.7,4.19,12.3,Norwest Venture Partners,Angel Investor,3,Edtech,China,Asia,Beijing,INV0037
R00113,S00070,YieldFinance,2021-09-14,2021,Q3,Pre-Seed,1.62,15.34,16.96,12.0,Intel Capital,Venture Capital,4,Healthcare & Biotech,United Kingdom,Europe,London,INV0056
R00114,S00070,YieldFinance,2024-02-26,2024,Q1,Series A,18.07,200.42,218.49,25.2,Kingsway Capital,Venture Capital,1,Healthcare & Biotech,United Kingdom,Europe,London,INV0067
R00115,S00070,YieldFinance,2023-06-24,2023,Q2,Series C,205.68,1524.74,1730.42,24.9,Blume Ventures,Private Equity,2,Healthcare & Biotech,United Kingdom,Europe,London,INV0071
R00116,S00071,PixelPay,2024-05-18,2024,Q2,Seed,1.96,15.7,17.66,24.9,Alibaba Group,Angel Investor,8,E-Commerce,United States,North America,Los Angeles,INV0054
R00117,S00072,DataWorks,2023-01-29,2023,Q1,Pre-Seed,0.46,4.11,4.57,13.0,GV (Google Ventures),Venture Capital,2,SaaS / Enterprise Software,Spain,Europe,Barcelona,INV0011
R00118,S00072,DataWorks,2020-01-26,2020,Q1,Seed,2.32,13.59,15.91,24.2,Khosla Ventures,Angel Investor,3,SaaS / Enterprise Software,Spain,Europe,Barcelona,INV0012
R00119,S00072,DataWorks,2022-10-02,2022,Q4,Series A,3.76,31.9,35.66,24.1,Antler,Government/Sovereign Fund,3,SaaS / Enterprise Software,Spain,Europe,Barcelona,INV0027
R00120,S00073,KiteForge,2024-04-11,2024,Q2,Seed,2.57,13.61,16.18,17.3,SoftBank Vision Fund,Corporate VC,1,Cybersecurity,United States,North America,Chicago,INV0005
R00121,S00074,MetaBase,2025-05-12,2025,Q2,Seed,3.04,23.83,26.87,18.5,Balderton Capital,Venture Capital,4,Climate Tech / Clean Energy,United States,North America,Chicago,INV0031
R00122,S00074,MetaBase,2020-06-14,2020,Q2,Series A,9.86,72.77,82.63,19.6,Greylock Partners,Venture Capital,3,Climate Tech / Clean Energy,United States,North America,Chicago,INV0018
R00123,S00074,MetaBase,2025-01-07,2025,Q1,Series B,10.95,116.17,127.12,18.6,Insight Partners,Venture Capital,7,Climate Tech / Clean Energy,United States,North America,Chicago,INV0010
R00124,S00075,BoltDynamics,2021-07-31,2021,Q3,Seed,0.5,3.37,3.87,18.6,BlueYard Capital,Private Equity,4,Fintech,Germany,Europe,Munich,INV0029
R00125,S00076,ArcTech,2022-02-16,2022,Q1,Pre-Seed,1.14,6.97,8.11,9.6,Qualcomm Ventures,Venture Capital,4,Healthcare & Biotech,Brazil,South America,Belo Horizonte,INV0062
R00126,S00077,Terrafy,2022-04-27,2022,Q2,Pre-Seed,0.22,0.8,1.02,9.3,TLcom Capital,Private Equity,8,Fintech,Canada,North America,Toronto,INV0068
R00127,S00077,Terrafy,2025-12-09,2025,Q4,Series A,9.68,94.86,104.54,17.8,Norwest Venture Partners,Venture Capital,4,Fintech,Canada,North America,Toronto,INV0037
R00128,S00077,Terrafy,2024-06-29,2024,Q2,Series C,162.67,1097.67,1260.34,11.1,Alibaba Group,Corporate VC,2,Fintech,Canada,North America,Toronto,INV0054
R00129,S00078,EdgeCloud,2020-11-12,2020,Q4,Pre-Seed,0.37,1.98,2.35,6.4,Benchmark,Venture Capital,1,HR Tech,Brazil,South America,Belo Horizonte,INV0008
R00130,S00079,AstraBeam,2026-03-11,2026,Q1,Pre-Seed,0.53,3.92,4.45,9.6,Antler,Venture Capital,3,E-Commerce,United Kingdom,Europe,Bristol,INV0027
R00131,S00080,TerraMind,2023-11-28,2023,Q4,Seed,2.0,7.24,9.24,14.6,Abu Dhabi Investment Authority,Angel Investor,3,Healthcare & Biotech,China,Asia,Hangzhou,INV0051
R00132,S00081,DawnDynamics,2020-03-28,2020,Q1,Pre-Seed,0.73,5.74,6.47,13.1,GIC,Corporate VC,2,Fintech,United States,North America,San Diego,INV0050
R00133,S00082,CloudEnergy,2021-09-17,2021,Q3,Seed,2.29,22.3,24.59,21.7,Alibaba Group,Government/Sovereign Fund,2,Space Tech,China,Asia,Beijing,INV0054
R00134,S00082,CloudEnergy,2023-09-28,2023,Q3,Series A,13.21,72.0,85.21,26.9,Partech,Venture Capital,1,Space Tech,China,Asia,Beijing,INV0046
R00135,S00083,CyberSense,2020-09-28,2020,Q3,Pre-Seed,0.49,1.95,2.44,14.4,Balderton Capital,Venture Capital,1,Artificial Intelligence,United States,North America,Miami,INV0031
R00136,S00084,VibeCloud,2022-03-29,2022,Q1,Pre-Seed,0.38,3.42,3.8,5.8,Bessemer Venture Partners,Venture Capital,11,Artificial Intelligence,United States,North America,Denver,INV0013
R00137,S00085,Datafy,2025-10-04,2025,Q4,Seed,1.17,8.23,9.4,14.2,Point Nine Capital,Venture Capital,6,SaaS / Enterprise Software,United States,North America,Austin,INV0044
R00138,S00086,LumeSystems,2025-10-31,2025,Q4,Pre-Seed,0.17,0.78,0.95,8.8,Greylock Partners,Private Equity,1,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0018
R00139,S00086,LumeSystems,2023-01-03,2023,Q1,Seed,6.72,60.73,67.45,24.1,Atomico,Venture Capital,3,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0032
R00140,S00086,LumeSystems,2024-04-06,2024,Q2,Series A,22.85,136.09,158.94,27.1,Northzone,Corporate VC,5,Real Estate Tech,United Kingdom,Europe,Cambridge,INV0047
R00141,S00087,Swiftfy,2021-03-20,2021,Q1,Pre-Seed,0.21,1.89,2.1,6.3,Tencent,Venture Capital,2,Fintech,United States,North America,Seattle,INV0053
R00142,S00087,Swiftfy,2023-04-25,2023,Q2,Series A,9.8,78.03,87.83,19.3,Cherry Ventures,Accelerator,2,Fintech,United States,North America,Seattle,INV0043
R00143,S00088,Novaly,2022-07-12,2022,Q3,Seed,0.92,3.78,4.7,20.2,Microsoft M12,Venture Capital,7,Gaming & Entertainment,Spain,Europe,Madrid,INV0057
R00144,S00089,HubTech,2025-08-16,2025,Q3,Pre-Seed,0.87,4.07,4.94,8.4,NVIDIA NVentures,Crowdfunding,4,Logistics & Supply Chain,United Kingdom,Europe,London,INV0060
R00145,S00089,HubTech,2021-08-17,2021,Q3,Series A,9.57,46.34,55.91,29.0,Partech Africa,Angel Investor,3,Logistics & Supply Chain,United Kingdom,Europe,London,INV0069
R00146,S00090,YieldWorks,2021-07-23,2021,Q3,Pre-Seed,0.54,2.72,3.26,10.6,Northzone,Venture Capital,4,Climate Tech / Clean Energy,Germany,Europe,Frankfurt,INV0047
